candle_begin_time,open,high,low,close,volume,quote_volume,trade_num,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,Spread,symbol,avg_price_1m,avg_price_5m
2023/10/16 19:00,28536.8,28797.9,28376.1,28457.9,37810.3,1080917165,378209,18850.435,538964163.1,-0.000384631,BTC-USDT,28543.02053,28562.69365
2023/10/16 20:00,28457.9,28633.3,28305.4,28390.8,17767.115,506062027.2,194755,8387.47,238990334.4,-0.000584355,BTC-USDT,28466.35039,28444.15232
2023/10/16 21:00,28390.8,28443.5,28220.7,28411.9,12447.163,352720147.1,143731,6264.1,177530602.7,-0.000403893,BTC-USDT,28389.68282,28375.70586
2023/10/16 22:00,28411.9,28548,28364.5,28492.5,9327.195,265411665.3,116414,4625.278,131630477.8,-0.000598746,BTC-USDT,28420.56862,28432.34352
2023/10/16 23:00,28492.5,28534.5,28422.6,28486.3,6206.714,176738671.4,94451,3029.075,86260259.91,-0.000508056,BTC-USDT,28491.94364,28485.81561
2023/10/17 00:00,28486.3,28534.4,28220,28263.9,18089.626,513146686.2,182627,7495.105,212625803.4,-0.000501802,BTC-USDT,28495.83611,28496.74926
2023/10/17 01:00,28263.8,28409.5,28254,28339.2,7096.634,201033995.3,92665,4125.254,116863423.3,-0.000380952,BTC-USDT,28267.38312,28294.61198
2023/10/17 02:00,28339.2,28379.5,28277.2,28358.3,5647.434,159996119,75553,2679.795,75923231.48,-0.000351449,BTC-USDT,28316.91757,28313.1869
2023/10/17 03:00,28358.3,28358.7,28239.2,28259.9,5291.568,149666129.7,74891,2275.941,64366365.24,-0.000356916,BTC-USDT,28353.71746,28355.18108
2023/10/17 04:00,28259.9,28260,28055,28175,18336.804,516296689,175996,9082.776,255735229.8,-0.000398421,BTC-USDT,28250.41484,28189.78622
2023/10/17 05:00,28175,28221.2,28128.7,28212,6040.756,170193421.9,78025,3329.918,93829628.24,-0.000299074,BTC-USDT,28167.47541,28171.57412
2023/10/17 06:00,28212,28227,28105.3,28214.7,8805.362,247896507,97174,4582.7,129023716.9,-0.000528169,BTC-USDT,28205.86796,28193.79738
2023/10/17 07:00,28214.7,28452.8,28189.9,28408.2,20376.955,577289995.5,198584,10737.813,304158184.1,-0.000788938,BTC-USDT,28209.95673,28217.23381
2023/10/17 08:00,28408.1,28509.4,28339,28425.9,18449.817,524360943.9,189711,8795.127,249999846.1,-0.000402639,BTC-USDT,28393.77006,28427.48161
2023/10/17 09:00,28426,28462.3,28350,28434.4,6390.856,181498040.6,88423,3078.078,87425648.96,-0.00043555,BTC-USDT,28433.37943,28423.41838
2023/10/17 10:00,28434.4,28605,28392.4,28495,21107.602,601461657.6,215960,10959.364,312353413,-0.000390442,BTC-USDT,28432.82567,28426.5178
2023/10/17 11:00,28494.9,28517,28405.3,28408.8,7773.89,221195533.3,100379,3487.267,99232764.67,-0.000486584,BTC-USDT,28491.92244,28500.03729
2023/10/17 12:00,28408.8,28458.6,28145.6,28203.5,22565.157,638953385.6,218338,9558.804,270718215.6,-0.000546442,BTC-USDT,28415.00533,28430.14559
2023/10/17 13:00,28203.5,28380,28117,28276.5,33486.004,945495205.4,346315,17152.134,484344077.6,-0.000541853,BTC-USDT,28213.54809,28180.77035
2023/10/17 14:00,28276.5,28500,28260,28449.7,23033.849,654034046.9,253833,12371.15,351309413.1,-0.000522404,BTC-USDT,28277.98363,28295.04374
2023/10/17 15:00,28449.7,28567.7,28412.5,28445.8,19768.827,563253876.2,226887,9546.101,272012104,-0.000559348,BTC-USDT,28449.45204,28454.17064
2023/10/17 16:00,28445.7,28591.9,28410.9,28566.7,11749.933,334989460.6,136342,6364.072,181459671.1,-0.000633553,BTC-USDT,28441.18606,28441.06786
2023/10/17 17:00,28566.7,28596,28347.6,28414.9,16311.912,463772650.4,173937,7683.177,218410774.5,-0.000435146,BTC-USDT,28575.79998,28536.09925
2023/10/17 18:00,28414.8,28474.5,28290,28334,10922.612,310014538.7,125429,5204.717,147755894,-0.000501619,BTC-USDT,28421.9138,28415.81814
2023/10/17 19:00,28334,28500,28330,28499,8402.184,238763555.2,101089,4588.464,130372485.6,-0.000612628,BTC-USDT,28348.24121,28346.94926
2023/10/17 20:00,28499,28528,28430,28431.3,7835.999,223195042.9,80007,3359,95685461.88,-0.000504471,BTC-USDT,28498.82877,28505.14695
2023/10/17 21:00,28431.4,28544.3,28390.7,28468.6,6679.517,190223711.9,74733,3439.633,97971117.63,-0.000657134,BTC-USDT,28424.54763,28415.96159
2023/10/17 22:00,28468.6,28473.5,28360,28405.3,6888.975,195771290.8,69999,3219.541,91493120.08,-0.00040856,BTC-USDT,28458.29044,28434.05641
2023/10/17 23:00,28405.4,28432.8,28371.3,28381.9,3137.485,89124719.36,42824,1552.405,44100421.44,-0.000493381,BTC-USDT,28410.12251,28403.82074
2023/10/18 00:00,28382,28424.1,28307.6,28361.4,6868.728,194799804.6,85678,3329.31,94423170.98,-0.000526495,BTC-USDT,28382.03758,28384.01976
2023/10/18 01:00,28361.5,28406,28307.6,28340,5339.188,151362119.7,76287,2663.67,75516879.63,-0.000489527,BTC-USDT,28360.35476,28353.62443
2023/10/18 02:00,28340,28494.9,28338.8,28455.7,8594.37,244296861.5,104435,4855.213,137996907,-0.000542655,BTC-USDT,28342.34754,28362.72354
2023/10/18 03:00,28455.6,28500,28429,28498,5101.093,145207208.7,60928,2429.734,69173840.31,-0.000575849,BTC-USDT,28462.31643,28465.80963
2023/10/18 04:00,28498.1,29100,28428.3,28716.8,35212.95,1012028434,275805,20595.739,592086523.9,-0.000484499,BTC-USDT,28500.59299,28484.4384
2023/10/18 05:00,28716.8,28849.9,28621.3,28681.9,35928.075,1031489060,342411,17780.358,510492108.5,-0.000473942,BTC-USDT,28746.04041,28701.05
2023/10/18 06:00,28681.9,28728.3,28607,28653.4,9909.149,284100054.4,116068,4406.99,126364297.9,-0.000475459,BTC-USDT,28675.15404,28690.72252
2023/10/18 07:00,28653.4,28659.5,28450,28485.1,17828.551,508862656.8,175202,7801.047,222642733.7,-0.000331642,BTC-USDT,28647.71497,28591.17259
2023/10/18 08:00,28485.1,28547.7,28452.9,28543.4,10300.227,293598367.9,114219,5367.162,152998553.7,-0.00063407,BTC-USDT,28474.859,28487.4686
2023/10/18 09:00,28543.4,28584.9,28204.8,28246.2,19449.592,552987078.2,155778,7981,227065603.6,-0.000756343,BTC-USDT,28542.45844,28532.30006
2023/10/18 10:00,28246.2,28402.6,28240,28357.8,19451.066,551198538.9,184293,10312.431,292187898,-0.000575172,BTC-USDT,28266.45502,28301.92044
2023/10/18 11:00,28357.8,28389,28313.4,28327.3,6865.062,194646605.3,88298,3423.302,97071243.18,-0.000470702,BTC-USDT,28356.13317,28346.78998
2023/10/18 12:00,28327.3,28393.2,28263.1,28315.7,10933.991,309641171.3,122181,5316.231,150570143.1,-0.000505118,BTC-USDT,28336.84036,28339.51763
2023/10/18 13:00,28315.6,28373.9,28246.5,28313.2,13069.877,370081826.4,144447,6687.086,189360046,-0.000438825,BTC-USDT,28301.78385,28295.32447
2023/10/18 14:00,28313.1,28354.2,28126.6,28180.4,24141.422,681410862.6,251250,11523.146,325273696.9,-0.000357922,BTC-USDT,28292.0625,28290.6932
2023/10/18 15:00,28180.3,28274.6,28142.2,28235.3,10000.326,282253640.6,127946,5296.637,149498795,-0.000430127,BTC-USDT,28184.77973,28194.4756
2023/10/18 16:00,28235.4,28386.6,28215.4,28332.1,14607.674,413738968,162656,8004.581,226714578.7,-0.000604602,BTC-USDT,28231.63203,28241.29545
2023/10/18 17:00,28332.1,28423.4,28312.2,28312.2,9943.495,282082884.9,110055,4778.909,135588965.3,-0.00062972,BTC-USDT,28330.75952,28348.28876
2023/10/18 18:00,28312.2,28352.5,28264.4,28284.3,6354.204,179930313.1,65082,3124.247,88473132.42,-0.000481661,BTC-USDT,28311.52879,28306.41572
2023/10/18 19:00,28284.3,28327.8,28228.5,28233.3,6941.693,196192471.7,86302,3703.835,104683105.9,-0.000436174,BTC-USDT,28279.06069,28264.84741
2023/10/18 20:00,28233.2,28293.8,28169.4,28236.9,7399.963,208877118.4,93477,3403.148,96074530.21,-0.000545442,BTC-USDT,28219.16957,28230.68861
2023/10/18 21:00,28236.9,28272,28200.1,28252.9,3380.997,95478682.71,49183,1656.103,46767973.12,-0.000594629,BTC-USDT,28234.37169,28232.8816
2023/10/18 22:00,28252.9,28330,28230.7,28330,5220.76,147720849.5,58222,2948.814,83433083.97,-0.000479121,BTC-USDT,28245.93737,28248.34093
2023/10/18 23:00,28329.9,28363.1,28290,28307.1,4334.175,122748128.6,51529,2044.682,57911639.34,-0.000455508,BTC-USDT,28334.48387,28343.38043
2023/10/19 00:00,28307.2,28383.9,28273.9,28370.1,5224.813,148022762.2,62691,2855.605,80916762.48,-0.000647446,BTC-USDT,28296.71497,28289.73721
2023/10/19 01:00,28370.1,28404.6,28076,28223.2,19966.645,563647423,178894,8688.578,245291447.4,-0.000542875,BTC-USDT,28369.51677,28379.31355
2023/10/19 02:00,28223.1,28261.4,28152.1,28195.8,7947.067,224100583.4,96908,4211.634,118773655.7,-0.000503368,BTC-USDT,28224.84529,28210.39305
2023/10/19 03:00,28195.9,28249.8,28183,28247.2,4447.818,125554925.4,55673,2593.503,73210094.09,-0.000452937,BTC-USDT,28190.45043,28196.6162
2023/10/19 04:00,28247.1,28275,28214.6,28271.7,3774.638,106624934,51919,1982.278,55995819.5,-0.000532051,BTC-USDT,28242.74904,28240.66277
2023/10/19 05:00,28271.7,28337,28258.6,28298.5,6067.127,171727808,68078,3180.627,90021790.66,-0.000349013,BTC-USDT,28265.7096,28280.36727
2023/10/19 06:00,28298.5,28314.5,28262.4,28275.8,3589.817,101548585.9,51113,1516.566,42902977.32,-0.000542573,BTC-USDT,28300.22906,28296.93722
2023/10/19 07:00,28275.7,28325,28226.6,28315,6598.711,186575119.2,70129,3381.8,95633467.47,-0.000558402,BTC-USDT,28275.80052,28287.05249
2023/10/19 08:00,28314.9,28366.2,28283.5,28307.8,6882.281,194960238.2,73740,3285.848,93095687.82,-0.000614647,BTC-USDT,28310.48203,28312.58188
2023/10/19 09:00,28307.8,28399,28267.4,28384.6,8797.645,249392323.9,92930,4735.947,134261708,-0.000542605,BTC-USDT,28307.01389,28307.04949
2023/10/19 10:00,28384.6,28498.2,28358,28460.9,19676.958,559565545.9,181887,10231.282,290955047.3,-0.000565018,BTC-USDT,28388.91966,28386.80052
2023/10/19 11:00,28461,28478.7,28392,28436,5861.655,166604623.7,70246,2539.633,72182160.53,-0.000516332,BTC-USDT,28471.45912,28443.37543
2023/10/19 12:00,28436.1,28563.6,28402.2,28460.6,23165.624,659774345.1,212917,11340.115,323003092.2,-0.000580115,BTC-USDT,28441.52819,28454.01895
2023/10/19 13:00,28460.6,28576.4,28414.6,28463.4,12747.597,363171319.5,145303,6207.772,176885947.8,-0.000656202,BTC-USDT,28444.70809,28436.88992
2023/10/19 14:00,28463.4,28742.9,28423.3,28665.6,31522.189,901279621.4,282220,17587.866,502992040,-0.000517774,BTC-USDT,28448.85913,28442.77063
2023/10/19 15:00,28665.5,28801.6,28550,28659.5,43499.591,1247821216,391051,20444.663,586632996.3,-0.00071792,BTC-USDT,28699.97014,28740.80828
2023/10/19 16:00,28659.5,28933.4,28585.6,28601.6,43676,1255015159,404381,21382.861,614590422.7,-0.000643256,BTC-USDT,28665.5412,28708.41579
2023/10/19 17:00,28601.7,28676.1,28436.8,28532.9,20588.044,587821420.3,205593,9666.417,276001201.5,-0.000502325,BTC-USDT,28603.86091,28615.49714
2023/10/19 18:00,28532.9,28680,28506.1,28631.5,14028.296,401393784,141188,7829.301,224029457,-0.000540371,BTC-USDT,28533.05212,28532.53504
2023/10/19 19:00,28631.5,28750,28630.4,28734.7,9380.066,269234772.5,111472,4991.123,143252676.9,-0.000558246,BTC-USDT,28634.90947,28648.68617
2023/10/19 20:00,28734.6,28883.7,28668,28699.5,18282.975,525819854.5,179889,9118.699,262313271.7,-0.000553014,BTC-USDT,28751.7805,28734.47944
2023/10/19 21:00,28699.5,28724.9,28590,28590,8773.812,251331686.2,107885,3984.737,114154739.7,-0.000492587,BTC-USDT,28685.67273,28682.27624
2023/10/19 22:00,28590.1,28691.6,28579.1,28630.8,5001.48,143227736,61658,2734.461,78302449.09,-0.000657949,BTC-USDT,28587.27892,28607.78142
2023/10/19 23:00,28630.8,28700,28614,28696.9,4172.358,119563942,56110,2151.267,61653657.44,-0.000585435,BTC-USDT,28629.76187,28637.42765
2023/10/20 00:00,28697,28756.8,28616.5,28620.5,7936.298,227646451.2,85603,3857.201,110647962.3,-0.000680866,BTC-USDT,28694.22075,28723.7165
2023/10/20 01:00,28620.6,28643.9,28560,28642.5,6633.908,189737035.9,79652,3552.987,101618302.9,-0.000593172,BTC-USDT,28620.61208,28611.5695
2023/10/20 02:00,28642.4,29200,28621.7,28967.5,41981.223,1213975347,345908,24015.794,694541660,-0.000431332,BTC-USDT,28635.74889,28634.6634
2023/10/20 03:00,28967.5,29400,28904.6,29222.8,54425.786,1588593662,459778,30078.417,878132389.4,-0.000430301,BTC-USDT,28986.4737,28975.19352
2023/10/20 04:00,29222.9,29347,29159,29307,21285.768,622621644.7,234878,10996.462,321717051.9,-0.000393608,BTC-USDT,29233.45542,29256.49963
2023/10/20 05:00,29307,29333.1,29110,29209.7,17681.823,516143183.5,186875,8277.404,241605657.9,-0.000412364,BTC-USDT,29316.80021,29295.743
2023/10/20 06:00,29209.6,29274,29165.5,29267.2,9348.554,273160429.2,109439,4815.034,140713114.7,-0.00052591,BTC-USDT,29204.65511,29197.14824
2023/10/20 07:00,29267.3,29405.4,29205.4,29228.5,16885.156,494532975.5,193686,8474.338,248249751.5,-0.000410732,BTC-USDT,29272.0632,29257.19984
2023/10/20 08:00,29228.6,29840,29214.4,29719.8,63370.861,1876023361,566009,35245.185,1043228136,-0.000404953,BTC-USDT,29230.44566,29240.69012
2023/10/20 09:00,29719.8,29825,29636.6,29785.9,23862.199,709472680.9,265705,11602.497,345011413.6,-0.000409758,BTC-USDT,29698.83962,29674.41075
2023/10/20 10:00,29786,30243,29756,29836.9,74722.764,2238270293,614759,41892.439,1255080812,-0.000439196,BTC-USDT,29795.13628,29784.55738
2023/10/20 11:00,29837,30027.2,29788.4,29829.9,25768.502,770589315.8,284256,12450.653,372355628.2,-0.000338137,BTC-USDT,29828.38399,29830.19005
2023/10/20 12:00,29829.9,29900,29358.5,29498.7,57544.782,1703262676,507008,24423.621,722992098.8,-0.00035616,BTC-USDT,29843.61501,29856.03835
2023/10/20 13:00,29498.8,29656.6,29442,29635.9,21137.716,624552406.9,255220,11772.208,347888394.6,-0.000631942,BTC-USDT,29519.74054,29528.15622
2023/10/20 14:00,29635.8,29718.8,29395.4,29569.2,25759.895,760990101,265509,11972.808,353757169.7,-0.000574254,BTC-USDT,29626.8521,29662.16153
2023/10/20 15:00,29569.2,29588,29470,29538.7,10538.458,311209288.1,119569,5252.824,155119384.5,-0.000415553,BTC-USDT,29559.24496,29526.73693
2023/10/20 16:00,29538.7,29578.6,29428.7,29478.5,10138.396,299164283.7,113130,4831.519,142582070.3,-0.000487236,BTC-USDT,29536.92367,29508.93809
2023/10/20 17:00,29478.5,29517.5,29304,29504.1,13767.344,405042222.1,154783,6665.289,196135088.3,-0.00041604,BTC-USDT,29476.68737,29461.49368
2023/10/20 18:00,29504.2,29544,29453,29468.9,5729.151,168980106.7,70873,2869.599,84648246.98,-0.000571801,BTC-USDT,29507.62639,29514.18203
2023/10/20 19:00,29468.8,29557.2,29382.8,29549.8,8254.386,243190442.2,98187,4509.537,132870978.3,-0.000392742,BTC-USDT,29470.51484,29476.95945
2023/10/20 20:00,29549.8,29624.9,29493.9,29565.9,9959.899,294514426.3,109084,5211.503,154111553,-0.00050776,BTC-USDT,29527.93869,29520.35837
2023/10/20 21:00,29565.9,29629.5,29560,29597.8,3216.772,95216640.78,52795,1429.132,42301608.75,-0.0005737,BTC-USDT,29567.32047,29574.54355
2023/10/20 22:00,29597.9,29665.8,29574.6,29649.3,5040.76,149296581.5,59969,2910.889,86222627.44,-0.000417037,BTC-USDT,29596.07668,29591.95088
2023/10/20 23:00,29649.3,29784.5,29638.2,29653,16014.926,475687275.2,157858,9232.289,274240307.2,-0.000540631,BTC-USDT,29658.60151,29679.38852